r_d,theta,repetition,kappa,genetic_entropy,phenotype_entropy,rectime
0.1,0.9,6,-2.521448734208884,2.999851360814306,0.9779905138889604,106.0
0.1,0.9,7,-2.615818420701534,3.0045655635442374,0.980319115841511,102.0
0.1,0.9,8,-2.4919586064079686,2.9900439912881915,0.9786441843922936,96.0
0.1,0.9,9,-2.571645174055192,2.9835815768176017,0.9787801429945511,70.0
0.1,1.0,0,-3.4061320167330407,2.9260610576756223,0.8837005809295135,88.0
0.1,1.0,1,-3.4252602215598507,2.9205385874349936,0.8762788861858661,85.0
0.1,1.0,2,-3.397192813762426,2.9040055449839466,0.8854096868592598,103.0
0.1,1.0,3,-3.3552595666109064,2.95568798733711,0.8859331369681273,96.0
0.1,1.0,4,-3.3635490787889664,2.9421069782045186,0.8874043705461583,104.0
0.1,1.0,5,-3.3854207596921997,2.926475326251865,0.883286076471332,88.0
0.1,1.0,6,-3.5390147533612786,2.9598203130660794,0.8756318813234063,103.0
0.1,1.0,7,-3.341378247254977,2.958592581874845,0.8909718613854833,82.0
0.1,1.0,8,-3.403919256971402,2.8932028758266837,0.8835668946377518,96.0
